,Unnamed: 0,po_/_so_#,asn/dn_#,country,fulfill_via,vendor_inco_term,shipment_mode,sub_classification,vendor,brand,unit_of_measure_(per_pack),line_item_quantity,line_item_value,pack_price,unit_price,manufacturing_site,first_line_designation,freight_cost_(usd),line_item_insurance_(usd),days_to_process
7131,7337,SO,DN,608,From RDC,N/A - From RDC,Truck,Adult,SCMS from RDC,Generic,30,1000,4040.0,4.04,0.13,Mylan (formerly Matrix) Nashik,Yes,569.0,5.0,253.0
7782,7988,SO,DN,754,From RDC,N/A - From RDC,Air,Adult,SCMS from RDC,Generic,60,90,675.0,7.5,0.12,"Aurobindo Unit III, India",Yes,521.52,1.46,39.0
3904,4110,SCMS,ASN,650,Direct Drop,EXW,Air,HIV+,other,other,100,2807,202104.0,53.775000000000006,0.72,other,Yes,17636.265,435.74,138.0
253,253,SCMS,ASN,1406,Direct Drop,DDP,Truck,Pediatric,other,other,90,6,43.2,7.2,0.08,other,Yes,0.0,0.08,-28.0
5312,5518,SCMS,ASN,688,Direct Drop,EXW,Air,Adult,other,Generic,30,15881,52407.3,3.3,0.11,"Aurobindo Unit III, India",No,3526.69,73.48,127.0
9818,10024,SO,DN,429,From RDC,N/A - From RDC,Air,Pediatric,SCMS from RDC,Generic,180,580,7250.0,12.5,0.05,"Aurobindo Unit III, India",Yes,2057.2,10.16,20.0
9782,9988,SO,DN,1161,From RDC,N/A - From RDC,Air Charter,Adult,SCMS from RDC,Generic,60,17376,43613.76,2.51,0.04,"Strides, Bangalore, India.",Yes,13398.06,71.96,210.0
5023,5229,SCMS,ASN,1406,Direct Drop,DDP,Truck,Pediatric,other,Generic,30,94,311.73,3.32,0.11,"Aurobindo Unit III, India",No,0.0,0.39,414.0
8049,8255,SO,DN,535,From RDC,N/A - From RDC,Truck,Adult,SCMS from RDC,Generic,30,41900,407198.31250000006,10.52,0.35,Hetero Unit III Hyderabad IN,Yes,4529.65,619.2275,247.0
8751,8957,SO,DN,754,From RDC,N/A - From RDC,Air,Adult,SCMS from RDC,Generic,30,4000,47000.0,11.75,0.39,Mylan (formerly Matrix) Nashik,Yes,6068.75,101.33,178.0
61,61,SCMS,ASN,1406,Direct Drop,DDP,Truck,Adult,other,other,60,30,1049.4,34.98,0.58,other,Yes,0.0,1.68,-223.5
6160,6366,SCMS,ASN,639,Direct Drop,CIP,Air,Adult,other,other,60,161,8935.5,53.775000000000006,0.92,other,Yes,0.0,9.19,187.0
6402,6608,SO,DN,1161,From RDC,N/A - From RDC,Air Charter,Adult,SCMS from RDC,Generic,60,2121,23797.62,11.22,0.19,"Aurobindo Unit III, India",Yes,0.0,51.31,145.0
3296,3502,SCMS,ASN,754,Direct Drop,EXW,Air,HIV+,other,other,50,15,1363.65,53.775000000000006,1.09875,other,Yes,855.41,1.69,84.0
6907,7113,SO,DN,52,From RDC,N/A - From RDC,Air,Adult,SCMS from RDC,Generic,30,6000,57780.0,9.63,0.32,Mylan (formerly Matrix) Nashik,Yes,17450.76,124.57,43.0
1469,1509,SO,DN,639,From RDC,N/A - From RDC,Air,Adult,SCMS from RDC,Generic,30,19740,237077.4,12.01,0.4,"Aurobindo Unit III, India",Yes,17636.265,379.32,-223.5
654,655,SCMS,ASN,1406,Direct Drop,DDP,Truck,Pediatric,other,other,180,50,2099.0,41.98,0.14,other,Yes,0.0,4.11,65.0
1975,2102,SO,DN,512,From RDC,N/A - From RDC,Air,Adult,SCMS from RDC,Generic,60,29489,314942.52,10.68,0.18,"Aurobindo Unit III, India",Yes,7533.0,503.91,-223.5
1714,1776,SO,DN,754,From RDC,N/A - From RDC,Air,Adult,SCMS from RDC,Generic,30,1444,15884.0,11.0,0.37,"Aurobindo Unit III, India",No,3526.69,31.13,-143.0
3579,3785,SCMS,ASN,1406,Direct Drop,DDP,Truck,Adult,other,Generic,60,19,592.65,31.19,0.52,"Aurobindo Unit III, India",No,0.0,0.61,189.0
3221,3427,SCMS,ASN,1406,Direct Drop,DDP,Truck,Adult,other,Generic,30,22333,359064.74,16.08,0.54,"Cipla, Goa, India",No,0.0,444.16,29.0
10057,10263,SO,DN,512,From RDC,N/A - From RDC,Truck,Pediatric,SCMS from RDC,Generic,60,41900,157185.93,3.73,0.06,Mylan (formerly Matrix) Nashik,No,3526.69,194.44,370.0
1725,1787,SO,DN,1161,From RDC,N/A - From RDC,Air,Adult,SCMS from RDC,Generic,60,5754,18412.8,3.2,0.05,Hetero Unit III Hyderabad IN,Yes,3515.96,36.09,-32.0
1841,1940,SO,DN,1161,From RDC,N/A - From RDC,Air,Adult,SCMS from RDC,other,30,641,16826.25,26.25,0.88,other,Yes,1110.5,26.92,-223.5
8845,9051,SO,DN,1161,From RDC,N/A - From RDC,Air Charter,Adult,SCMS from RDC,Generic,60,19501,45437.33,2.33,0.04,Hetero Unit III Hyderabad IN,Yes,17636.265,63.7,70.0
9576,9782,SO,DN,512,From RDC,N/A - From RDC,Truck,Pediatric,SCMS from RDC,Generic,60,41900,206160.0,3.75,0.06,"Strides, Bangalore, India.",Yes,2151.27,211.93,210.0
8009,8215,SO,DN,639,From RDC,N/A - From RDC,Air,Adult,SCMS from RDC,Generic,60,216,285.12,1.32,0.02,"Aurobindo Unit III, India",No,3526.69,0.35,57.0
8460,8666,SO,DN,754,From RDC,N/A - From RDC,Air,Adult,SCMS from RDC,Generic,60,4290,10381.8,2.42,0.04,Hetero Unit III Hyderabad IN,No,3526.69,14.56,155.0
5021,5227,SCMS,ASN,1406,Direct Drop,DDP,Truck,Adult,other,other,120,4,110.05,27.51,0.23,other,No,0.0,0.11,316.0
3173,3379,SCMS,ASN,608,Direct Drop,EXW,Ocean,HIV+,other,other,20,1065,34080.0,32.0,1.09875,other,Yes,0.0,56.23,263.0
9258,9464,SO,DN,1161,From RDC,N/A - From RDC,Air Charter,Adult,SCMS from RDC,Generic,60,41900,407198.31250000006,8.26,0.14,"Aurobindo Unit III, India",Yes,12601.07,619.2275,155.0
4570,4776,SCMS,ASN,1406,Direct Drop,DDP,Truck,Pediatric,other,other,180,100,4835.18,48.35,0.16,other,Yes,0.0,9.48,11.0
6462,6668,SO,DN,207,From RDC,N/A - From RDC,Air,Pediatric,SCMS from RDC,Generic,180,3000,6060.0,2.02,0.01,"Aurobindo Unit III, India",Yes,6770.6,10.0,8.0
2086,2213,SO,DN,650,From RDC,N/A - From RDC,Truck,Adult,SCMS from RDC,other,30,41900,407198.31250000006,26.25,0.88,other,Yes,14036.31,619.2275,-105.0
1035,1036,SO,DN,1046,From RDC,N/A - From RDC,Air,Adult,SCMS from RDC,Generic,60,9000,67500.0,7.5,0.12,"Cipla, Goa, India",Yes,3166.0,28.78,-223.5
389,389,SCMS,ASN,1406,Direct Drop,DDP,Air,Pediatric,other,Generic,90,2000,43360.0,21.68,0.24,"Aurobindo Unit III, India",No,0.0,84.99,-54.0
8208,8414,SO,DN,639,From RDC,N/A - From RDC,Air,Adult,SCMS from RDC,Generic,60,108,162.0,1.5,0.02,"Aurobindo Unit III, India",No,3526.69,0.35,68.0
4580,4786,SCMS,ASN,639,Direct Drop,FCA,Air,Pediatric,other,other,60,120,840.0,7.0,0.12,other,Yes,575.17,1.18,159.0
5015,5221,SCMS,ASN,688,Direct Drop,EXW,Air,Adult,other,Generic,30,16354,89947.0,5.5,0.18,Mylan (formerly Matrix) Nashik,No,3526.69,148.41,216.0
9758,9964,SO,DN,1161,From RDC,N/A - From RDC,Air Charter,Adult,SCMS from RDC,Generic,30,41900,221947.6,4.34,0.14,"Aurobindo Unit III, India",No,3526.69,478.52,175.0
5191,5397,SCMS,ASN,639,Direct Drop,CIP,Air,Pediatric,other,other,180,2295,38923.2,16.96,0.09,other,Yes,5293.76,54.57,192.0
4981,5187,SCMS,ASN,1406,Direct Drop,DDP,Truck,Adult,other,Generic,30,3,46.79,15.6,0.52,"Aurobindo Unit III, India",No,0.0,0.05,295.0
6023,6229,SCMS,ASN,333,Direct Drop,EXW,Air,HIV+,other,other,20,469,15008.0,32.0,1.09875,other,Yes,3125.65,18.56,235.0
5031,5237,SCMS,ASN,688,Direct Drop,EXW,Air,Pediatric,other,Generic,30,435,974.4,2.24,0.07,"Aurobindo Unit III, India",Yes,1003.65,1.37,151.0
3893,4099,SCMS,ASN,1406,Direct Drop,DDP,Truck,Adult,other,Generic,60,56,369.98,6.61,0.11,"Aurobindo Unit III, India",No,0.0,0.38,243.0
539,539,SCMS,ASN,535,Direct Drop,CIP,Air,Pediatric,other,other,60,54,513.0,9.5,0.16,other,Yes,0.0,56.23,-223.5
3690,3896,SCMS,ASN,1406,Direct Drop,DDP,Truck,Pediatric,other,other,100,1056,17046.74,16.14,0.16,other,Yes,0.0,33.41,92.0
9687,9893,SO,DN,1046,From RDC,N/A - From RDC,Air,Adult,SCMS from RDC,Generic,60,915,6889.95,7.53,0.13,"Aurobindo Unit III, India",Yes,1702.92,13.5,168.0
2957,3163,SCMS,ASN,688,Direct Drop,EXW,Air,Adult,other,Generic,60,15040,86329.6,5.74,0.1,"Cipla, Goa, India",Yes,6390.83,186.13,433.0
4097,4303,SCMS,ASN,688,Direct Drop,EXW,Air,Adult,other,Generic,30,9600,96000.0,10.0,0.33,Hetero Unit III Hyderabad IN,Yes,0.0,112.99,167.0
8427,8633,SO,DN,429,From RDC,N/A - From RDC,Air,Adult,SCMS from RDC,Generic,60,6985,91852.75,13.15,0.22,"Aurobindo Unit III, India",Yes,12688.85,128.78,104.0
9228,9434,SO,DN,52,From RDC,N/A - From RDC,Air,Adult,SCMS from RDC,Generic,30,2615,18383.45,7.03,0.23,Mylan (formerly Matrix) Nashik,No,3526.69,30.33,44.0
7560,7766,SO,DN,512,From RDC,N/A - From RDC,Truck,Adult,SCMS from RDC,Generic,30,24042,145934.94,6.07,0.2,Mylan (formerly Matrix) Nashik,Yes,3300.95,204.6,241.0
3153,3359,SCMS,ASN,1406,Direct Drop,DDP,Truck,Adult,other,Generic,60,220,2011.46,9.14,0.15,"Aurobindo Unit III, India",No,0.0,2.07,120.0
6148,6354,SCMS,ASN,1406,Direct Drop,DDP,Air,Adult,other,Generic,60,16999,43007.47,2.53,0.04,"Aurobindo Unit III, India",Yes,1791.42,92.72,186.0
7683,7889,SO,DN,535,From RDC,N/A - From RDC,Truck,Pediatric,SCMS from RDC,Generic,60,10893,21677.07,1.99,0.03,"Cipla, Goa, India",Yes,6331.93,22.28,158.0
2888,3094,SCMS,ASN,688,Direct Drop,EXW,Air,Pediatric,other,Generic,180,564,1099.8,1.95,0.01,"Aurobindo Unit III, India",Yes,10770.55,1.54,127.0
10008,10214,SO,DN,512,From RDC,N/A - From RDC,Truck,Pediatric,SCMS from RDC,Generic,60,3879,16679.7,4.3,0.07,"Cipla, Goa, India",No,3526.69,20.63,251.0
7952,8158,SO,DN,1161,From RDC,N/A - From RDC,Air Charter,Adult,SCMS from RDC,Generic,30,32562,127317.42,3.91,0.13,"Strides, Bangalore, India.",No,3526.69,178.5,94.0
8077,8283,SO,DN,1046,From RDC,N/A - From RDC,Air,Pediatric,SCMS from RDC,Generic,60,5800,22562.0,3.89,0.06,"Strides, Bangalore, India.",Yes,2431.36,27.91,164.0
8458,8664,SO,DN,1161,From RDC,N/A - From RDC,Air,Adult,SCMS from RDC,Generic,60,728,1761.76,2.42,0.04,"Aurobindo Unit III, India",No,3526.69,2.47,195.0
6360,6566,SCMS,ASN,1406,Direct Drop,DDP,Ocean,Adult,other,Generic,30,11711,80923.01,6.91,0.23,"Aurobindo Unit III, India",Yes,5460.48,174.47,224.0
7041,7247,SO,DN,754,From RDC,N/A - From RDC,Air,Adult,SCMS from RDC,Generic,30,23000,89930.0,3.91,0.13,"Strides, Bangalore, India.",Yes,9800.0,126.08,62.0
5805,6011,SCMS,ASN,429,Direct Drop,FCA,Air,Pediatric,other,Generic,60,1575,12143.25,7.71,0.13,other,Yes,2874.03,20.04,247.0
6000,6206,SCMS,ASN,639,Direct Drop,EXW,Air,HIV+,other,Generic,25,4,45.0,11.25,0.45,other,Yes,702.42,0.06,75.0
805,806,SCMS,ASN,1161,Direct Drop,EXW,Air,HIV+,other,other,20,6520,176040.0,27.0,1.09875,other,Yes,12768.47,281.66,-223.5
9002,9208,SO,DN,237,From RDC,N/A - From RDC,Air,Pediatric,SCMS from RDC,Generic,180,81,117.45,1.45,0.01,"Aurobindo Unit III, India",Yes,728.3,0.15,160.0
8309,8515,SO,DN,30,From RDC,N/A - From RDC,Air,Pediatric,SCMS from RDC,Generic,90,680,6589.2,9.69,0.11,"Aurobindo Unit III, India",No,3526.69,10.87,26.0
4980,5186,SCMS,ASN,1406,Direct Drop,DDP,Truck,Adult,other,Generic,30,6,85.31,14.22,0.47,"Aurobindo Unit III, India",No,0.0,0.09,264.0
5017,5223,SCMS,ASN,1406,Direct Drop,DDP,Ocean,Adult,other,Generic,30,41900,321367.26,4.53,0.15,"Aurobindo Unit III, India",Yes,11203.81,619.2275,238.0
7827,8033,SO,DN,1046,From RDC,N/A - From RDC,Truck,Adult,SCMS from RDC,Generic,60,12100,32186.0,2.66,0.04,Hetero Unit III Hyderabad IN,No,3526.69,69.39,141.0
229,229,SCMS,ASN,94,Direct Drop,EXW,Air,HIV+,other,other,25,3,225.0,53.775000000000006,1.09875,other,Yes,963.34,0.44,-125.0
4519,4725,SCMS,ASN,512,Direct Drop,EXW,Air,HIV+,other,other,100,504,40320.0,53.775000000000006,0.8,other,Yes,2788.07,41.45,258.0
5721,5927,SCMS,ASN,164,Direct Drop,EXW,Air,HIV+,other,other,20,450,14400.0,32.0,1.09875,other,No,3526.69,14.8,216.0
7027,7233,SO,DN,535,From RDC,N/A - From RDC,Truck,Adult,SCMS from RDC,Generic,60,41900,333841.0,4.7,0.08,"Strides, Bangalore, India.",Yes,5530.11,550.84,267.0
3200,3406,SCMS,ASN,1161,Direct Drop,EXW,Air,HIV+,other,other,180,2884,131510.4,45.6,0.06,other,Yes,12723.32,184.38,142.0
8310,8516,SO,DN,650,From RDC,N/A - From RDC,Truck,Adult,SCMS from RDC,Generic,60,22242,51823.86,2.33,0.04,Hetero Unit III Hyderabad IN,Yes,7487.51,111.73,151.0
1625,1687,SO,DN,1046,From RDC,N/A - From RDC,Air,Adult,SCMS from RDC,other,180,332,26108.48,53.775000000000006,0.29,other,No,3526.69,41.77,-223.5
10077,10283,SO,DN,1161,From RDC,N/A - From RDC,Air Charter,Adult,SCMS from RDC,Generic,60,41900,407198.31250000006,7.72,0.13,"Cipla, Goa, India",No,3526.69,619.2275,256.0
5970,6176,SCMS,ASN,512,Direct Drop,FCA,Air,Adult,other,other,180,335,12850.6,38.36,0.11,other,Yes,4701.1,27.71,395.0
3362,3568,SCMS,ASN,608,Direct Drop,FCA,Air,Adult,other,other,180,420,43478.98,53.775000000000006,0.38,other,Yes,5017.18,71.74,123.0
5638,5844,SCMS,ASN,1406,Direct Drop,DDP,Truck,Adult,other,other,120,24,850.06,35.42,0.3,other,No,0.0,0.87,97.0
505,505,SCMS,ASN,1406,Direct Drop,DDP,Air,Pediatric,other,other,90,30,829.5,27.65,0.31,other,No,0.0,1.63,-131.0
2008,2135,SO,DN,535,From RDC,N/A - From RDC,Air,Adult,SCMS from RDC,Generic,30,1860,23101.2,12.42,0.41,"Cipla, Goa, India",No,3526.69,36.96,-223.5
9235,9441,SO,DN,1046,From RDC,N/A - From RDC,Air,Adult,SCMS from RDC,Generic,60,41900,206640.0,3.28,0.05,Mylan (formerly Matrix) Nashik,No,3526.69,445.52,244.0
5818,6024,SCMS,ASN,111,Direct Drop,EXW,Air,HIV+,other,other,100,4555,364400.0,53.775000000000006,0.8,other,Yes,9456.46,619.2275,254.0
6435,6641,SO,DN,207,From RDC,N/A - From RDC,Air,Adult,SCMS from RDC,Generic,60,2000,14420.0,7.21,0.12,"Aurobindo Unit III, India",Yes,755.64,31.09,29.0
8205,8411,SO,DN,1046,From RDC,N/A - From RDC,Air,Adult,SCMS from RDC,Generic,60,19937,139559.0,7.0,0.12,"Strides, Bangalore, India.",Yes,5028.04,273.54,104.0
9252,9458,SO,DN,1046,From RDC,N/A - From RDC,Air,Adult,SCMS from RDC,Generic,30,300,5976.0,19.92,0.66,Mylan (formerly Matrix) Nashik,No,3526.69,9.86,246.0
6021,6227,SCMS,ASN,164,Direct Drop,EXW,Air,HIV+,other,other,20,18,576.0,32.0,1.09875,other,No,3526.69,0.59,105.0
6627,6833,SO,DN,333,From RDC,N/A - From RDC,Air,Adult,SCMS from RDC,Generic,60,647,4703.69,7.27,0.12,Mylan (formerly Matrix) Nashik,Yes,17636.265,5.82,299.0
4317,4523,SCMS,ASN,429,Direct Drop,CIP,Air,Adult,other,Generic,60,41900,166990.56,2.64,0.04,Hetero Unit III Hyderabad IN,Yes,0.0,360.03,97.0
6244,6450,SCMS,ASN,1406,Direct Drop,DDP,Truck,Pediatric,other,other,90,2,28.33,14.16,0.16,other,Yes,0.0,0.06,53.0
3229,3435,SCMS,ASN,94,Direct Drop,EXW,Air,HIV+,other,other,20,1000,32000.0,32.0,1.09875,other,Yes,8858.67,62.72,54.0
6772,6978,SO,DN,512,From RDC,N/A - From RDC,Truck,Pediatric,SCMS from RDC,Generic,60,17980,38657.0,2.15,0.04,"Cipla, Goa, India",Yes,837.59,47.82,402.0
8803,9009,SO,DN,608,From RDC,N/A - From RDC,Truck,Adult,SCMS from RDC,Generic,60,420,588.0,1.4,0.02,"Aurobindo Unit III, India",Yes,843.36,0.97,218.0
4811,5017,SCMS,ASN,207,Direct Drop,EXW,Air,Adult,other,Generic,30,3000,39000.0,13.0,0.43,"Aurobindo Unit III, India",Yes,1120.57,84.08,23.0
5179,5385,SCMS,ASN,608,Direct Drop,EXW,Air,HIV+,other,other,100,4131,320978.7,53.775000000000006,0.78,other,Yes,11566.55,619.2275,121.0
1449,1489,SO,DN,1046,From RDC,N/A - From RDC,Air,Adult,SCMS from RDC,other,120,993,40812.3,41.1,0.34,other,Yes,3499.1,65.3,-223.5
5851,6057,SCMS,ASN,512,Direct Drop,EXW,Air,HIV+,other,other,100,3781,0.0,0.0,0.0,other,Yes,17636.265,0.0,165.0
870,871,SCMS,ASN,1406,Direct Drop,DDP,Air,Adult,other,other,30,60,1813.2,30.22,1.01,other,No,0.0,3.55,-131.0
7545,7751,SO,DN,535,From RDC,N/A - From RDC,Truck,Adult,SCMS from RDC,Generic,30,41900,163036.8,3.33,0.11,"Strides, Bangalore, India.",No,3526.69,228.58,184.0
3515,3721,SCMS,ASN,1406,Direct Drop,DDP,Truck,Pediatric,other,Generic,90,21,357.92,17.04,0.19,"Aurobindo Unit III, India",No,0.0,0.37,137.0
2255,2412,SO,DN,608,From RDC,N/A - From RDC,Air,Adult,SCMS from RDC,Generic,60,16990,229365.0,13.5,0.22,"Aurobindo Unit III, India",No,3526.69,366.98,-223.5
849,850,SCMS,ASN,688,Direct Drop,EXW,Air,Adult,other,Generic,60,24480,168912.0,6.9,0.12,"Cipla, Goa, India",Yes,4443.97,331.07,-66.0
1131,1132,SO,DN,1046,From RDC,N/A - From RDC,Air,Adult,SCMS from RDC,Generic,60,12833,94964.2,7.4,0.12,"Cipla, Goa, India",Yes,3056.96,151.94,-223.5
3766,3972,SCMS,ASN,1406,Direct Drop,DDP,Truck,Adult,other,Generic,30,16,349.87,21.87,0.73,"Aurobindo Unit III, India",No,0.0,0.43,412.0
7123,7329,SO,DN,1161,From RDC,N/A - From RDC,Air Charter,Pediatric,SCMS from RDC,Generic,60,9377,37508.0,4.0,0.07,Mylan (formerly Matrix) Nashik,Yes,0.0,46.4,131.0
6561,6767,SO,DN,1161,From RDC,N/A - From RDC,Air Charter,Adult,SCMS from RDC,Generic,30,41900,407198.31250000006,16.27,0.54,Mylan (formerly Matrix) Nashik,Yes,17636.265,619.2275,144.0
6265,6471,SCMS,ASN,754,Direct Drop,EXW,Air,Pediatric,other,Generic,30,1200,1500.0,1.25,0.04,"Aurobindo Unit III, India",Yes,896.35,1.54,138.0
7423,7629,SO,DN,1161,From RDC,N/A - From RDC,Air Charter,Adult,SCMS from RDC,Generic,60,1000,1400.0,1.4,0.02,"Aurobindo Unit III, India",Yes,17636.265,2.31,114.0
1488,1528,SO,DN,535,From RDC,N/A - From RDC,Air,Adult,SCMS from RDC,Generic,30,1233,15313.86,12.42,0.41,Mylan (formerly Matrix) Nashik,No,3526.69,24.5,-223.5
7322,7528,SO,DN,639,From RDC,N/A - From RDC,Air,Adult,SCMS from RDC,Generic,60,34769,304576.44,8.76,0.15,Hetero Unit III Hyderabad IN,Yes,1005.2,619.2275,221.0
8159,8365,SO,DN,429,From RDC,N/A - From RDC,Truck,Pediatric,SCMS from RDC,Generic,60,3238,16481.42,5.09,0.08,other,No,3526.69,16.94,82.0
2610,2816,SCMS,ASN,1406,Direct Drop,DDP,Ocean,Adult,other,Generic,30,12000,54120.0,4.51,0.15,"Aurobindo Unit III, India",Yes,0.0,116.68,196.0
9940,10146,SO,DN,535,From RDC,N/A - From RDC,Truck,Adult,SCMS from RDC,Generic,30,20519,96439.3,4.7,0.16,other,No,3526.69,135.21,184.0
7480,7686,SO,DN,608,From RDC,N/A - From RDC,Truck,Adult,SCMS from RDC,Generic,60,41900,407198.31250000006,10.29,0.17,Mylan (formerly Matrix) Nashik,No,3526.69,619.2275,104.0
3124,3330,SCMS,ASN,429,Direct Drop,EXW,Air,HIV+,other,other,20,873,27936.0,32.0,1.09875,other,Yes,6233.79,46.09,121.0
3677,3883,SCMS,ASN,94,Direct Drop,EXW,Air,HIV+,other,other,25,50,4750.0,53.775000000000006,1.09875,other,Yes,481.63,6.66,130.0
1128,1129,SO,DN,1046,From RDC,N/A - From RDC,Air,HIV+,SCMS from RDC,Generic,100,1505,15.05,0.01,0.0,other,Yes,1759.4,0.02,-223.5
4829,5035,SCMS,ASN,1406,Direct Drop,DDP,Truck,Adult,other,Generic,30,4,54.01,13.5,0.45,"Aurobindo Unit III, India",No,0.0,0.06,42.0
5226,5432,SCMS,ASN,1406,Direct Drop,DDP,Truck,Adult,other,Generic,30,912,12596.09,13.81,0.46,"Aurobindo Unit III, India",No,0.0,14.83,42.0
6491,6697,SO,DN,754,From RDC,N/A - From RDC,Air,Adult,SCMS from RDC,Generic,30,2447,15709.74,6.42,0.21,Mylan (formerly Matrix) Nashik,Yes,1812.94,25.92,39.0
5902,6108,SCMS,ASN,688,Direct Drop,EXW,Air,Adult,other,Generic,30,17760,168720.0,9.5,0.32,Hetero Unit III Hyderabad IN,Yes,0.0,198.58,142.0
7960,8166,SO,DN,535,From RDC,N/A - From RDC,Truck,Adult,SCMS from RDC,Generic,30,41900,407198.31250000006,5.36,0.18,Mylan (formerly Matrix) Nashik,Yes,15299.59,619.2275,293.0
7230,7436,SO,DN,608,From RDC,N/A - From RDC,Truck,Adult,SCMS from RDC,Generic,60,41900,202875.84,4.32,0.07,Hetero Unit III Hyderabad IN,Yes,0.0,208.56,325.0
2253,2410,SO,DN,754,From RDC,N/A - From RDC,Ocean,Adult,SCMS from RDC,Generic,30,1166,2332.0,2.0,0.07,"Cipla, Goa, India",Yes,1240.0,4.57,-119.0
6881,7087,SO,DN,1161,From RDC,N/A - From RDC,Air Charter,Adult,SCMS from RDC,Generic,60,41900,407198.31250000006,8.76,0.15,Hetero Unit III Hyderabad IN,Yes,9736.1,619.2275,193.0
8044,8250,SO,DN,754,From RDC,N/A - From RDC,Truck,Adult,SCMS from RDC,Generic,60,41900,363580.42,8.26,0.14,Hetero Unit III Hyderabad IN,No,3526.69,449.75,256.0
8730,8936,SO,DN,639,From RDC,N/A - From RDC,Air,Adult,SCMS from RDC,Generic,60,8520,19851.6,2.33,0.04,"Strides, Bangalore, India.",No,3526.69,42.8,229.0
386,386,SCMS,ASN,1406,Direct Drop,DDP,Air,Adult,other,other,84,20,147.0,7.35,0.09,other,Yes,0.0,0.29,-129.0
8663,8869,SO,DN,1161,From RDC,N/A - From RDC,Air Charter,Pediatric,SCMS from RDC,Generic,60,13660,49176.0,3.6,0.06,Mylan (formerly Matrix) Nashik,Yes,1871.34,50.55,222.0
7111,7317,SO,DN,52,From RDC,N/A - From RDC,Air,Adult,SCMS from RDC,Generic,60,3200,7232.0,2.26,0.04,Hetero Unit III Hyderabad IN,Yes,8281.7,8.95,78.0
7864,8070,SO,DN,535,From RDC,N/A - From RDC,Truck,Pediatric,SCMS from RDC,Generic,30,45,495.0,11.0,0.37,"Aurobindo Unit III, India",No,3526.69,1.07,219.0
7190,7396,SO,DN,608,From RDC,N/A - From RDC,Truck,Adult,SCMS from RDC,Generic,30,41900,407198.31250000006,11.15,0.37,Mylan (formerly Matrix) Nashik,Yes,17636.265,619.2275,266.0
3006,3212,SCMS,ASN,333,Direct Drop,EXW,Air,Adult,other,Generic,60,980,7947.8,8.11,0.14,"Strides, Bangalore, India.",Yes,2322.08,8.17,224.0
4009,4215,SCMS,ASN,608,Direct Drop,EXW,Air,HIV+,other,other,100,2591,201320.7,53.775000000000006,0.78,other,Yes,12838.85,332.18,123.0
7353,7559,SO,DN,1161,From RDC,N/A - From RDC,Air,Adult,SCMS from RDC,Generic,60,15650,112836.5,7.21,0.12,"Aurobindo Unit III, India",Yes,17636.265,243.28,167.0
4258,4464,SCMS,ASN,1406,Direct Drop,DDP,Truck,Adult,other,other,120,62,1549.54,24.99,0.21,other,No,0.0,1.92,29.0
5823,6029,SCMS,ASN,333,Direct Drop,EXW,Air,HIV+,other,Generic,180,720,16164.0,22.45,0.02,other,Yes,3089.83,19.99,171.0
3274,3480,SCMS,ASN,639,Direct Drop,EXW,Air,Adult,other,Generic,60,1260,2318.4,1.84,0.03,other,No,3526.69,2.87,188.0
4361,4567,SCMS,ASN,1161,Direct Drop,EXW,Air,HIV+,other,other,20,1850,53650.0,29.0,1.09875,other,Yes,2951.78,88.52,83.0
9362,9568,SO,DN,535,From RDC,N/A - From RDC,Truck,Adult,SCMS from RDC,Generic,60,2699,7962.05,2.95,0.05,"Strides, Bangalore, India.",No,3526.69,13.14,267.0
1177,1178,SO,DN,608,From RDC,N/A - From RDC,Air,Adult,SCMS from RDC,Generic,60,3672,34333.2,9.35,0.16,"Aurobindo Unit III, India",Yes,3874.22,54.93,-199.0
7859,8065,SO,DN,1161,From RDC,N/A - From RDC,Air Charter,Adult,SCMS from RDC,Generic,60,2000,11120.0,5.56,0.09,"Cipla, Goa, India",Yes,12601.07,18.35,79.0
9796,10002,SO,DN,1046,From RDC,N/A - From RDC,Air,Adult,SCMS from RDC,Generic,60,17820,41520.6,2.33,0.04,Hetero Unit III Hyderabad IN,Yes,12606.03,68.51,130.0
8461,8667,SO,DN,1161,From RDC,N/A - From RDC,Air,Adult,SCMS from RDC,Generic,30,41900,407198.31250000006,5.36,0.18,Hetero Unit III Hyderabad IN,No,3526.69,619.2275,195.0
6528,6734,SO,DN,333,From RDC,N/A - From RDC,Air,Adult,SCMS from RDC,Generic,60,1176,12936.0,11.0,0.18,Mylan (formerly Matrix) Nashik,Yes,1824.72,18.14,85.0
5525,5731,SCMS,ASN,237,Direct Drop,FCA,Air,Pediatric,other,other,180,17,1033.94,53.775000000000006,0.2,other,Yes,828.23,1.06,125.0
2000,2127,SO,DN,650,From RDC,N/A - From RDC,Air,Adult,SCMS from RDC,Generic,60,41900,205496.0,3.4,0.06,"Aurobindo Unit III, India",Yes,15671.53,328.79,-223.5
4945,5151,SCMS,ASN,1406,Direct Drop,DDP,Truck,Adult,other,Generic,60,24,329.7,13.74,0.23,"Aurobindo Unit III, India",No,0.0,0.34,347.0
5719,5925,SCMS,ASN,1161,Direct Drop,EXW,Air,HIV+,other,other,100,6101,407198.31250000006,53.775000000000006,0.89,other,Yes,17636.265,558.19,124.0
