,Unnamed: 0,po_/_so_#,asn/dn_#,country,fulfill_via,vendor_inco_term,shipment_mode,sub_classification,vendor,brand,unit_of_measure_(per_pack),line_item_quantity,line_item_value,pack_price,unit_price,manufacturing_site,first_line_designation,freight_cost_(usd),line_item_insurance_(usd),days_to_process
9700,9906,SO,DN,1161,From RDC,N/A - From RDC,Air Charter,Adult,SCMS from RDC,Generic,60,10000,26600.0,2.66,0.04,"Strides, Bangalore, India.",Yes,9736.1,57.35,193.0
1859,1958,SO,DN,512,From RDC,N/A - From RDC,Air,Pediatric,SCMS from RDC,Generic,60,11640,90210.0,7.75,0.13,"Aurobindo Unit III, India",Yes,8381.22,144.34,-223.5
5487,5693,SCMS,ASN,164,Direct Drop,EXW,Air,HIV+,other,other,1,238,1190.0,5.0,1.09875,other,No,3526.69,1.67,120.0
2674,2880,SCMS,ASN,52,Direct Drop,EXW,Air,HIV+,other,other,100,2772,255024.0,53.775000000000006,0.92,other,Yes,0.0,420.79,128.0
2870,3076,SCMS,ASN,1406,Direct Drop,DDP,Truck,Adult,other,Generic,30,627,13051.03,20.82,0.69,Hetero Unit III Hyderabad IN,Yes,0.0,16.14,414.0
6319,6525,SCMS,ASN,639,Direct Drop,EXW,Air,HIV+,other,other,1,1600,39200.0,24.5,1.09875,other,Yes,10893.85,46.14,200.0
2206,2363,SO,DN,512,From RDC,N/A - From RDC,Air,Adult,SCMS from RDC,Generic,60,41900,407198.31250000006,9.45,0.16,"Aurobindo Unit III, India",No,3526.69,619.2275,-223.5
6271,6477,SCMS,ASN,429,Direct Drop,FCA,Air,Pediatric,other,other,60,208,7040.8,33.85,0.56,other,Yes,957.88,7.24,119.0
2044,2171,SO,DN,512,From RDC,N/A - From RDC,Air,Adult,SCMS from RDC,Generic,30,17000,211140.0,12.42,0.41,"Aurobindo Unit III, India",Yes,17636.265,337.82,-223.5
7515,7721,SO,DN,512,From RDC,N/A - From RDC,Truck,Adult,SCMS from RDC,Generic,30,41900,407198.31250000006,14.38,0.48,Mylan (formerly Matrix) Nashik,Yes,7134.39,619.2275,182.0
7696,7902,SO,DN,1161,From RDC,N/A - From RDC,Air Charter,Adult,SCMS from RDC,Generic,30,41900,407198.31250000006,9.76,0.33,Hetero Unit III Hyderabad IN,Yes,17636.265,619.2275,160.0
8080,8286,SO,DN,98,From RDC,N/A - From RDC,Air,Adult,SCMS from RDC,Generic,120,88,1848.0,21.0,0.18,Mylan (formerly Matrix) Nashik,Yes,771.9,2.29,196.0
9109,9315,SO,DN,608,From RDC,N/A - From RDC,Truck,Adult,SCMS from RDC,other,120,30120,407198.31250000006,18.9,0.16,other,Yes,3995.94,585.21,267.0
9284,9490,SO,DN,608,From RDC,N/A - From RDC,Truck,Adult,SCMS from RDC,Generic,60,3357,7821.81,2.33,0.04,Hetero Unit III Hyderabad IN,Yes,315.51,12.91,234.0
2737,2943,SCMS,ASN,46,Direct Drop,EXW,Air,HIV+,other,other,100,378,33642.0,53.775000000000006,0.89,other,Yes,4529.86,55.51,94.0
4872,5078,SCMS,ASN,1161,Direct Drop,EXW,Air,HIV+,other,other,100,3072,273408.0,53.775000000000006,0.89,other,Yes,13383.47,338.21,106.0
2283,2440,SO,DN,1161,From RDC,N/A - From RDC,Air,Adult,SCMS from RDC,other,30,17933,407198.31250000006,26.25,0.88,other,Yes,16864.58,619.2275,-33.0
3408,3614,SCMS,ASN,1406,Direct Drop,DDP,Truck,Adult,other,Generic,30,10000,173493.01,17.35,0.58,"Aurobindo Unit III, India",Yes,0.0,340.05,154.0
2338,2517,SO,DN,608,From RDC,N/A - From RDC,Air,Adult,SCMS from RDC,Generic,30,2933,49127.75,16.75,0.56,"Aurobindo Unit III, India",No,3526.69,78.6,-223.5
9931,10137,SO,DN,333,From RDC,N/A - From RDC,Air,Adult,SCMS from RDC,Generic,30,897,4314.57,4.81,0.16,other,No,3526.69,5.34,299.0
755,756,SCMS,ASN,1406,Direct Drop,DDP,Air,Pediatric,other,other,60,10,100.6,10.06,0.17,other,No,0.0,0.2,-192.0
4591,4797,SCMS,ASN,98,Direct Drop,EXW,Air,HIV+,other,other,100,2018,161440.0,53.775000000000006,0.8,other,Yes,0.0,190.01,308.0
1041,1042,SO,DN,1161,From RDC,N/A - From RDC,Air,Adult,SCMS from RDC,Generic,60,880,2912.8,3.31,0.06,other,Yes,1732.0,7.83,-223.5
4267,4473,SCMS,ASN,1406,Direct Drop,DDP,Truck,Adult,other,Generic,60,408,1608.59,3.94,0.07,"Aurobindo Unit III, India",No,0.0,1.99,121.0
1672,1734,SO,DN,650,From RDC,N/A - From RDC,Truck,Adult,SCMS from RDC,Generic,60,40454,137543.6,3.4,0.06,"Aurobindo Unit III, India",Yes,4060.55,269.59,-223.0
8674,8880,SO,DN,754,From RDC,N/A - From RDC,Truck,Adult,SCMS from RDC,other,120,8452,157545.28,18.64,0.16,other,No,3526.69,185.43,280.0
6139,6345,SCMS,ASN,75,Direct Drop,EXW,Air,HIV+,other,other,100,30,3347.4,53.775000000000006,1.09875,other,Yes,0.0,4.69,104.0
5535,5741,SCMS,ASN,70,Direct Drop,EXW,Air,HIV+,other,other,20,5,160.0,32.0,1.09875,other,Yes,634.36,0.31,439.0
4954,5160,SCMS,ASN,1406,Direct Drop,DDP,Ocean,Pediatric,other,Generic,30,41900,131450.0,2.39,0.08,"Aurobindo Unit III, India",Yes,7321.43,283.41,276.0
5801,6007,SCMS,ASN,754,Direct Drop,EXW,Air,Adult,other,Generic,60,22500,52875.0,2.35,0.04,"Aurobindo Unit III, India",Yes,8143.97,74.13,35.0
3848,4054,SCMS,ASN,535,Direct Drop,FCA,Air,Pediatric,other,other,180,1083,39161.28,36.16,0.12,other,Yes,17636.265,84.43,259.0
9328,9534,SO,DN,1161,From RDC,N/A - From RDC,Air Charter,Adult,SCMS from RDC,Generic,60,41900,125819.75,2.45,0.04,"Aurobindo Unit III, India",Yes,17636.265,207.6,171.0
4626,4832,SCMS,ASN,1406,Direct Drop,DDP,Truck,Adult,other,Generic,60,18,488.0,27.11,0.45,Mylan (formerly Matrix) Nashik,No,0.0,0.6,414.0
6656,6862,SO,DN,754,From RDC,N/A - From RDC,Truck,Adult,SCMS from RDC,Generic,60,1530,10006.2,6.54,0.11,"Aurobindo Unit III, India",Yes,17636.265,12.38,176.0
7668,7874,SO,DN,333,From RDC,N/A - From RDC,Air,Pediatric,SCMS from RDC,Generic,60,2825,10537.25,3.73,0.06,"Strides, Bangalore, India.",No,3526.69,10.83,183.0
8487,8693,SO,DN,754,From RDC,N/A - From RDC,Air,Adult,SCMS from RDC,Generic,60,1276,2883.76,2.26,0.04,Hetero Unit III Hyderabad IN,No,3526.69,3.57,133.0
4421,4627,SCMS,ASN,1406,Direct Drop,DDP,Ocean,Adult,other,Generic,60,164,1380.88,8.42,0.14,"Aurobindo Unit III, India",Yes,0.0,2.28,188.0
939,940,SCMS,ASN,1406,Direct Drop,DDP,Truck,Pediatric,other,other,30,200,596.0,2.98,0.1,other,No,0.0,0.95,-223.5
4269,4475,SCMS,ASN,1406,Direct Drop,DDP,Truck,Adult,other,Generic,30,621,12768.22,20.56,0.69,"Aurobindo Unit III, India",No,0.0,15.79,29.0
1885,1984,SO,DN,639,From RDC,N/A - From RDC,Air,Pediatric,SCMS from RDC,Generic,180,2613,5487.3,2.1,0.01,"Aurobindo Unit III, India",Yes,11836.61,8.78,-223.5
8723,8929,SO,DN,754,From RDC,N/A - From RDC,Air,Adult,SCMS from RDC,Generic,60,5000,43800.0,8.76,0.15,Hetero Unit III Hyderabad IN,Yes,4159.73,94.43,60.0
6777,6983,SO,DN,1046,From RDC,N/A - From RDC,Truck,Adult,SCMS from RDC,Generic,30,5905,21376.1,3.62,0.12,Hetero Unit III Hyderabad IN,Yes,2440.19,21.97,282.0
1218,1239,SO,DN,650,From RDC,N/A - From RDC,Air,Adult,SCMS from RDC,Generic,60,41900,188728.05,3.57,0.06,"Aurobindo Unit III, India",Yes,17636.265,301.96,-223.5
9732,9938,SO,DN,1046,From RDC,N/A - From RDC,Air,Adult,SCMS from RDC,Generic,30,26076,116038.2,4.45,0.15,Mylan (formerly Matrix) Nashik,No,3526.69,250.18,141.0
9936,10142,SO,DN,333,From RDC,N/A - From RDC,Air,Pediatric,SCMS from RDC,Generic,30,42,462.0,11.0,0.37,"Aurobindo Unit III, India",No,3526.69,0.57,261.0
5504,5710,SCMS,ASN,75,Direct Drop,EXW,Air,Adult,other,Generic,60,18180,98717.4,5.43,0.09,"Aurobindo Unit III, India",Yes,11067.86,122.11,107.0
3644,3850,SCMS,ASN,429,Direct Drop,CIP,Air,Adult,other,Generic,60,4500,11655.0,2.59,0.04,Hetero Unit III Hyderabad IN,Yes,1393.42,22.84,320.0
4884,5090,SCMS,ASN,1046,Direct Drop,CIP,Air,Adult,other,other,180,2000,100000.0,50.0,0.28,other,Yes,1434.5,215.6,120.0
2935,3141,SCMS,ASN,688,Direct Drop,EXW,Air,Adult,other,Generic,30,14780,155190.0,10.5,0.35,Hetero Unit III Hyderabad IN,Yes,2718.03,159.54,162.0
8000,8206,SO,DN,333,From RDC,N/A - From RDC,Air,Adult,SCMS from RDC,Generic,60,990,8494.2,8.58,0.14,Hetero Unit III Hyderabad IN,No,3526.69,10.51,261.0
417,417,SCMS,ASN,650,Direct Drop,EXW,Air,HIV+,other,other,100,2500,200000.0,53.775000000000006,0.8,other,Yes,5157.65,136.85,-223.5
7700,7906,SO,DN,608,From RDC,N/A - From RDC,Truck,Adult,SCMS from RDC,Generic,60,5280,59294.4,11.23,0.19,"Aurobindo Unit III, India",No,3526.69,60.95,332.0
8167,8373,SO,DN,1161,From RDC,N/A - From RDC,Air Charter,Adult,SCMS from RDC,Generic,60,1,7.72,7.72,0.13,"Cipla, Goa, India",No,3526.69,0.01,270.0
9810,10016,SO,DN,650,From RDC,N/A - From RDC,Truck,Adult,SCMS from RDC,Generic,30,10015,89834.55,8.97,0.3,Mylan (formerly Matrix) Nashik,Yes,2882.6,148.23,54.0
9055,9261,SO,DN,608,From RDC,N/A - From RDC,Truck,Adult,SCMS from RDC,Generic,30,18886,203591.08,10.78,0.36,other,No,3526.69,209.29,189.0
5496,5702,SCMS,ASN,688,Direct Drop,FCA,Air,Adult,other,other,30,450,10467.0,23.26,0.78,other,Yes,520.19,10.76,146.0
9533,9739,SO,DN,1161,From RDC,N/A - From RDC,Air Charter,Adult,SCMS from RDC,Generic,60,15,123.9,8.26,0.14,"Cipla, Goa, India",Yes,17636.265,0.15,361.0
2219,2376,SO,DN,1046,From RDC,N/A - From RDC,Air,Pediatric,SCMS from RDC,Generic,180,1971,2759.4,1.4,0.01,"Aurobindo Unit III, India",No,3526.69,4.42,-223.5
7237,7443,SO,DN,608,From RDC,N/A - From RDC,Truck,Adult,SCMS from RDC,Generic,60,41900,407198.31250000006,6.6,0.11,Hetero Unit III Hyderabad IN,Yes,8689.22,484.28,332.0
4188,4394,SCMS,ASN,1161,Direct Drop,EXW,Air,HIV+,other,other,100,8149,407198.31250000006,53.775000000000006,0.89,other,Yes,17636.265,619.2275,156.0
4700,4906,SCMS,ASN,1406,Direct Drop,DDP,Truck,Pediatric,other,other,180,2,44.13,22.06,0.07,other,Yes,0.0,0.05,56.0
8744,8950,SO,DN,535,From RDC,N/A - From RDC,Air,Adult,SCMS from RDC,Generic,60,2100,12033.0,5.73,0.1,"Strides, Bangalore, India.",No,3526.69,25.94,226.0
6227,6433,SCMS,ASN,688,Direct Drop,FCA,Air,Adult,other,other,120,4951,406972.2,53.775000000000006,0.68,other,Yes,8108.91,619.2275,175.0
624,625,SCMS,ASN,1406,Direct Drop,DDP,Air,Pediatric,other,Generic,180,500,1000.0,2.0,0.01,"Aurobindo Unit III, India",No,0.0,1.96,-181.0
2099,2226,SO,DN,1161,From RDC,N/A - From RDC,Air Charter,Adult,SCMS from RDC,Generic,60,1033,1601.15,1.55,0.03,"Aurobindo Unit III, India",No,3526.69,3.14,-74.0
6793,6999,SO,DN,608,From RDC,N/A - From RDC,Truck,Adult,SCMS from RDC,Generic,60,7442,19349.2,2.6,0.04,Hetero Unit III Hyderabad IN,Yes,15645.33,19.89,311.0
9462,9668,SO,DN,1046,From RDC,N/A - From RDC,Truck,Adult,SCMS from RDC,Generic,120,16000,336000.0,21.0,0.18,"Aurobindo Unit III, India",Yes,17548.41,415.63,235.0
5811,6017,SCMS,ASN,429,Direct Drop,EXW,Air,HIV+,other,other,1,5994,146853.0,24.5,1.09875,other,Yes,17636.265,150.96,47.0
3521,3727,SCMS,ASN,754,Direct Drop,CIP,Air,Adult,other,other,120,807,53746.2,53.775000000000006,0.55,other,Yes,321.94,55.25,109.0
8382,8588,SO,DN,333,From RDC,N/A - From RDC,Air,Adult,SCMS from RDC,Generic,60,23,336.49,14.63,0.24,Mylan (formerly Matrix) Nashik,No,3526.69,0.47,85.0
59,59,SCMS,ASN,639,Direct Drop,EXW,Air,HIV+,other,other,100,28,9800.0,53.775000000000006,1.09875,other,Yes,782.13,15.68,-223.5
1396,1436,SO,DN,1046,From RDC,N/A - From RDC,Air,Adult,SCMS from RDC,Generic,30,10000,162500.0,16.25,0.54,"Aurobindo Unit III, India",Yes,3006.0,301.96,-223.5
3876,4082,SCMS,ASN,1161,Direct Drop,EXW,Air,HIV+,other,other,100,2744,244216.0,53.775000000000006,0.89,other,Yes,17636.265,342.39,95.0
5744,5950,SCMS,ASN,429,Direct Drop,EXW,Air,HIV+,other,other,100,3500,271950.0,53.775000000000006,0.78,other,Yes,11855.59,336.4,250.0
1072,1073,SO,DN,650,From RDC,N/A - From RDC,Air,Adult,SCMS from RDC,other,30,3360,88200.0,26.25,0.88,other,Yes,1532.41,141.12,-223.5
6340,6546,SCMS,ASN,535,Direct Drop,FCA,Air,Pediatric,other,other,180,6490,200021.8,30.82,0.1,other,Yes,17636.265,235.43,135.0
2944,3150,SCMS,ASN,1046,Direct Drop,EXW,Air,HIV+,other,other,25,1209,24180.0,20.0,0.8,other,Yes,5639.42,39.9,187.0
7228,7434,SO,DN,429,From RDC,N/A - From RDC,Truck,Pediatric,SCMS from RDC,Generic,60,6030,30692.7,5.09,0.08,other,Yes,4649.71,31.55,77.0
873,874,SCMS,ASN,1406,Direct Drop,DDP,Air,Pediatric,other,other,60,2160,23133.6,10.71,0.18,other,Yes,0.0,45.34,-45.0
4816,5022,SCMS,ASN,111,Direct Drop,EXW,Air,HIV+,other,other,100,1,89.0,53.775000000000006,0.89,other,Yes,13753.58,0.19,112.0
